"type","Status","Amount_In_Dollars","Market_Title","Market_Id","Original_Date","Filled","Canceled_By_You","Canceled_By_NSF","Canceled_By_Closing","Original_Placed","Remaining","Price_In_Cents","Fee_In_Dollars","Traded_Time","Direction","Settled_Time","Result","Profit_In_Dollars","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Deposit_Type","Last_Updated"
"Order","Placed ","","Will the **high temp in Austin** be >90° on Apr 1 2024?","6f3a886b-0778-47e0-ae66-ca5fe022b15a","Apr 1, 2024","0","0","0","0","1","1","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 89-90° on Apr 1 2024?","2d536e28-dd7b-4788-9dfc-d80359ce6371","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 89-90° on Apr 1 2024?","2d536e28-dd7b-4788-9dfc-d80359ce6371","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:50PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 87-88° on Apr 1 2024?","27afb15a-1838-40f3-9df9-a83ba4444a53","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 87-88° on Apr 1 2024?","27afb15a-1838-40f3-9df9-a83ba4444a53","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:50PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 85-86° on Apr 1 2024?","8141099d-9a9f-4cbf-90f4-3473f490f8aa","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 85-86° on Apr 1 2024?","8141099d-9a9f-4cbf-90f4-3473f490f8aa","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:50PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 83-84° on Apr 1 2024?","4ab349cf-6ccd-4a0d-a424-d6aa94344be3","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 83-84° on Apr 1 2024?","4ab349cf-6ccd-4a0d-a424-d6aa94344be3","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:50PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","Apr 1, 2024","","","","","","","50","0.02","Apr 1, 2024 at 10:50PM EDT","Yes","","","","","","","","",""
"Order","Placed ","","Will the **high temp in Miami** be >83° on Apr 1 2024?","ac711699-5d64-4387-8299-3deec5c7f227","Apr 1, 2024","0","0","0","0","1","1","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 82-83° on Apr 1 2024?","cbcf9845-9ecc-404c-b560-cffdb85b8bde","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 82-83° on Apr 1 2024?","cbcf9845-9ecc-404c-b560-cffdb85b8bde","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 80-81° on Apr 1 2024?","aba8de48-97ff-4b32-b30a-907f6db586d5","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 80-81° on Apr 1 2024?","aba8de48-97ff-4b32-b30a-907f6db586d5","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 78-79° on Apr 1 2024?","0597cb72-14e4-4ede-96b5-4005d3c454df","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 78-79° on Apr 1 2024?","0597cb72-14e4-4ede-96b5-4005d3c454df","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 76-77° on Apr 1 2024?","8e00ff81-aaa8-4eb5-b84e-773e998560a4","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
