Date,MaxTemperature,MaxTemperatureNormal,MaxTemperatureDeparture,MinTemperature,MinTemperatureNormal,MinTemperatureDeparture,AvgTemperature,AvgTemperatureNormal,AvgTemperatureDeparture,AtObsTemperature,Precipitation,PrecipitationNormal,PrecipitationDeparture,Snowfall,SnowfallNormal,SnowfallDeparture,SnowDepth,HDD,HDDNormal,HDDDeparture,CDD,CDDNormal,CDDDeparture,GDD
1942-10-01,,87.2,,,62.6,,,74.9,,,,0.1,,0.0,0.0,0.0,0.0,,0.2,,,10.1,,
1942-10-02,,87.0,,,62.3,,,74.6,,,,0.09,,0.0,0.0,0.0,0.0,,0.3,,,9.9,,
1942-10-03,,86.7,,,61.9,,,74.3,,,,0.11,,0.0,0.0,0.0,0.0,,0.3,,,9.6,,
1942-10-04,,86.4,,,61.6,,,74.0,,,,0.11,,0.0,0.0,0.0,0.0,,0.3,,,9.3,,
1942-10-05,,86.1,,,61.2,,,73.7,,,,0.11,,0.0,0.0,0.0,0.0,,0.4,,,9.0,,
1942-10-06,,85.9,,,60.9,,,73.4,,,,0.11,,0.0,0.0,0.0,0.0,,0.4,,,8.8,,
1942-10-07,,85.6,,,60.5,,,73.0,,,,0.11,,0.0,0.0,0.0,0.0,,0.5,,,8.5,,
1942-10-08,,85.3,,,60.1,,,72.7,,,,0.11,,0.0,0.0,0.0,0.0,,0.5,,,8.2,,
1942-10-09,,85.0,,,59.8,,,72.4,,,,0.12,,0.0,0.0,0.0,0.0,,0.6,,,8.0,,
1942-10-10,,84.7,,,59.4,,,72.0,,,,0.13,,0.0,0.0,0.0,0.0,,0.7,,,7.7,,
1942-10-11,,84.4,,,59.0,,,71.7,,,,0.13,,0.0,0.0,0.0,0.0,,0.7,,,7.4,,
1942-10-12,,84.0,,,58.7,,,71.4,,,,0.14,,0.0,0.0,0.0,0.0,,0.8,,,7.2,,
1942-10-13,,83.7,,,58.3,,,71.0,,,,0.13,,0.0,0.0,0.0,0.0,,0.9,,,6.9,,
1942-10-14,,83.4,,,57.9,,,70.7,,,,0.13,,0.0,0.0,0.0,0.0,,0.9,,,6.6,,
1942-10-15,,83.0,,,57.6,,,70.3,,,,0.13,,0.0,0.0,0.0,0.0,,1.0,,,6.3,,
1942-10-16,,82.7,,,57.2,,,70.0,,,,0.15,,0.0,0.0,0.0,0.0,,1.1,,,6.0,,
1942-10-17,70.0,82.4,-12.4,66.0,56.8,9.2,68.0,69.6,-1.6,,0.2,0.15,0.05,0.0,0.0,0.0,0.0,0.0,1.2,-1.2,3.0,5.8,-2.8,18.0
1942-10-18,70.0,82.0,-12.0,63.0,56.5,6.5,66.5,69.2,-2.7,,0.71,0.16,0.55,0.0,0.0,0.0,0.0,0.0,1.3,-1.3,2.0,5.5,-3.5,17.0
1942-10-19,75.0,81.6,-6.6,58.0,56.1,1.9,66.5,68.9,-2.4,,0.01,0.16,-0.15,0.0,0.0,0.0,0.0,0.0,1.4,-1.4,2.0,5.3,-3.3,17.0
1942-10-20,78.0,81.3,-3.3,59.0,55.7,3.3,68.5,68.5,0.0,,,0.17,-0.17,0.0,0.0,0.0,0.0,0.0,1.5,-1.5,4.0,5.0,-1.0,19.0
1942-10-21,83.0,80.9,2.1,58.0,55.4,2.6,70.5,68.1,2.4,,0.0,0.16,-0.16,0.0,0.0,0.0,0.0,0.0,1.7,-1.7,6.0,4.8,1.2,21.0
1942-10-22,87.0,80.5,6.5,55.0,55.0,0.0,71.0,67.8,3.2,,0.0,0.17,-0.17,0.0,0.0,0.0,0.0,0.0,1.9,-1.9,6.0,4.7,1.3,21.0
1942-10-23,79.0,80.2,-1.2,52.0,54.6,-2.6,65.5,67.4,-1.9,,0.0,0.16,-0.16,0.0,0.0,0.0,0.0,0.0,2.1,-2.1,1.0,4.5,-3.5,16.0
1942-10-24,68.0,79.8,-11.8,55.0,54.3,0.7,61.5,67.0,-5.5,,,0.16,-0.16,0.0,0.0,0.0,0.0,3.0,2.3,0.7,0.0,4.3,-4.3,12.0
1942-10-25,81.0,79.4,1.6,63.0,53.9,9.1,72.0,66.7,5.3,,,0.16,-0.16,0.0,0.0,0.0,0.0,0.0,2.4,-2.4,7.0,4.1,2.9,22.0
1942-10-26,74.0,79.0,-5.0,45.0,53.6,-8.6,59.5,66.3,-6.8,,0.0,0.16,-0.16,0.0,0.0,0.0,0.0,5.0,2.6,2.4,0.0,3.9,-3.9,10.0
1942-10-27,67.0,78.6,-11.6,46.0,53.2,-7.2,56.5,65.9,-9.4,,0.01,0.15,-0.14,0.0,0.0,0.0,0.0,8.0,2.8,5.2,0.0,3.8,-3.8,7.0
1942-10-28,71.0,78.3,-7.3,56.0,52.8,3.2,63.5,65.5,-2.0,,,0.15,-0.15,0.0,0.0,0.0,0.0,1.0,3.1,-2.1,0.0,3.6,-3.6,14.0
1942-10-29,85.0,77.9,7.1,69.0,52.5,16.5,77.0,65.2,11.8,,,0.14,-0.14,0.0,0.0,0.0,0.0,0.0,3.3,-3.3,12.0,3.5,8.5,27.0
1942-10-30,80.0,77.5,2.5,58.0,52.1,5.9,69.0,64.8,4.2,,0.42,0.15,0.27,0.0,0.0,0.0,0.0,0.0,3.5,-3.5,4.0,3.3,0.7,19.0
1942-10-31,76.0,77.1,-1.1,53.0,51.8,1.2,64.5,64.4,0.1,,0.0,0.14,-0.14,0.0,0.0,0.0,0.0,0.0,3.7,-3.7,0.0,3.1,-3.1,15.0
1942-11-01,79.0,76.7,2.3,46.0,51.4,-5.4,62.5,64.1,-1.6,,0.0,0.12,-0.12,0.0,0.0,0.0,0.0,2.0,3.9,-1.9,0.0,3.0,-3.0,13.0
1942-11-02,84.0,76.3,7.7,61.0,51.1,9.9,72.5,63.7,8.8,,,0.12,-0.12,0.0,0.0,0.0,0.0,0.0,4.1,-4.1,8.0,2.8,5.2,23.0
1942-11-03,74.0,76.0,-2.0,62.0,50.8,11.2,68.0,63.4,4.6,,,0.12,-0.12,0.0,0.0,0.0,0.0,0.0,4.3,-4.3,3.0,2.7,0.3,18.0
1942-11-04,78.0,75.6,2.4,60.0,50.4,9.6,69.0,63.0,6.0,,0.62,0.11,0.51,0.0,0.0,0.0,0.0,0.0,4.6,-4.6,4.0,2.6,1.4,19.0
1942-11-05,79.0,75.2,3.8,70.0,50.1,19.9,74.5,62.6,11.9,,,0.12,-0.12,0.0,0.0,0.0,0.0,0.0,4.8,-4.8,10.0,2.5,7.5,25.0
1942-11-06,75.0,74.8,0.2,64.0,49.8,14.2,69.5,62.3,7.2,,,0.11,-0.11,0.0,0.0,0.0,0.0,0.0,5.1,-5.1,5.0,2.4,2.6,20.0
1942-11-07,81.0,74.5,6.5,68.0,49.4,18.6,74.5,61.9,12.6,,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,5.3,-5.3,10.0,2.3,7.7,25.0
1942-11-08,80.0,74.1,5.9,64.0,49.1,14.9,72.0,61.6,10.4,,0.0,0.11,-0.11,0.0,0.0,0.0,0.0,0.0,5.6,-5.6,7.0,2.2,4.8,22.0
1942-11-09,80.0,73.7,6.3,63.0,48.8,14.2,71.5,61.3,10.2,,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,5.8,-5.8,7.0,2.1,4.9,22.0
1942-11-10,74.0,73.4,0.6,53.0,48.5,4.5,63.5,60.9,2.6,,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,1.0,6.0,-5.0,0.0,2.0,-2.0,14.0
1942-11-11,63.0,73.0,-10.0,46.0,48.2,-2.2,54.5,60.6,-6.1,,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,10.0,6.3,3.7,0.0,1.8,-1.8,5.0
1942-11-12,70.0,72.7,-2.7,41.0,47.9,-6.9,55.5,60.3,-4.8,,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,9.0,6.5,2.5,0.0,1.7,-1.7,6.0
1942-11-13,75.0,72.3,2.7,42.0,47.5,-5.5,58.5,59.9,-1.4,,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,6.0,6.7,-0.7,0.0,1.7,-1.7,9.0
1942-11-14,75.0,72.0,3.0,45.0,47.2,-2.2,60.0,59.6,0.4,,0.0,0.09,-0.09,0.0,0.0,0.0,0.0,5.0,7.0,-2.0,0.0,1.6,-1.6,10.0
1942-11-15,78.0,71.7,6.3,53.0,46.9,6.1,65.5,59.3,6.2,,0.0,0.08,-0.08,0.0,0.0,0.0,0.0,0.0,7.2,-7.2,1.0,1.5,-0.5,16.0
1942-11-16,82.0,71.3,10.7,66.0,46.6,19.4,74.0,59.0,15.0,,0.0,0.08,-0.08,0.0,0.0,0.0,0.0,0.0,7.5,-7.5,9.0,1.5,7.5,24.0
1942-11-17,82.0,71.0,11.0,67.0,46.3,20.7,74.5,58.7,15.8,,0.0,0.07,-0.07,0.0,0.0,0.0,0.0,0.0,7.7,-7.7,10.0,1.4,8.6,25.0
1942-11-18,81.0,70.7,10.3,65.0,46.0,19.0,73.0,58.4,14.6,,0.0,0.07,-0.07,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,8.0,1.3,6.7,23.0
1942-11-19,79.0,70.4,8.6,68.0,45.8,22.2,73.5,58.1,15.4,,0.0,0.07,-0.07,0.0,0.0,0.0,0.0,0.0,8.2,-8.2,9.0,1.3,7.7,24.0
1942-11-20,83.0,70.1,12.9,71.0,45.5,25.5,77.0,57.8,19.2,,0.01,0.07,-0.06,0.0,0.0,0.0,0.0,0.0,8.4,-8.4,12.0,1.2,10.8,27.0
1942-11-21,78.0,69.8,8.2,43.0,45.2,-2.2,60.5,57.5,3.0,,0.05,0.07,-0.02,0.0,0.0,0.0,0.0,4.0,8.6,-4.6,0.0,1.1,-1.1,11.0
1942-11-22,54.0,69.5,-15.5,39.0,44.9,-5.9,46.5,57.2,-10.7,,0.0,0.07,-0.07,0.0,0.0,0.0,0.0,18.0,8.8,9.2,0.0,1.0,-1.0,0.0
1942-11-23,67.0,69.2,-2.2,37.0,44.6,-7.6,52.0,56.9,-4.9,,0.0,0.07,-0.07,0.0,0.0,0.0,0.0,13.0,9.0,4.0,0.0,1.0,-1.0,2.0
